gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60120.21031036783	3.130696395787676	0.14620255166752286	21.41341830276087	1.0018762475321354e-101	2.29429660684859e-99
ENSG00000156265	31971.320086942855	2.999667634325157	0.14612892852994874	20.527541428666417	1.222034431425211e-93	1.3992294239818667e-91
ENSG00000180509	35032.455470708475	3.231583971913481	0.17176952455991454	18.813488482273115	5.855473567822039e-79	4.469678156770822e-77
ENSG00000142192	47649.29420784557	3.0890608791560736	0.18202420918810908	16.970604585699636	1.3552952443399368e-64	7.759065273846138e-63
ENSG00000183527	7910.053069923496	2.8326350834013603	0.16973112684993805	16.688954677745922	1.57707910870557e-62	7.22302231787151e-61
ENSG00000159128	10515.185687857249	2.4940850306183835	0.15396547633543797	16.198988825161216	5.126307450728886e-59	1.9565406770281912e-57
ENSG00000142168	6492.721127299266	2.983674697094969	0.2253846418251215	13.238145567212323	5.283738390618713e-40	1.7285372735024077e-38
ENSG00000160307	4686.024297530745	3.3559552604517546	0.28778474521697933	11.661338261419955	2.0086029528960674e-31	5.749625952664993e-30
ENSG00000159197	1664.6185589929412	2.236928328351868	0.2030057052646266	11.019041683759264	3.093347191385613e-28	7.870850075858948e-27
ENSG00000160284	7003.569169509477	3.4482840850111156	0.5556403814398296	6.205963785561418	5.436269691628781e-10	1.2449057593829907e-8
ENSG00000183421	2747.7816625158457	-0.6381926317736925	0.17974649124003866	-3.55051510252532	3.8447807563176404e-4	0.008004134483606724
ENSG00000166265	1156.479893998024	-0.6763891086322678	0.20809440527546358	-3.2503954526643914	0.0011524463307125603	0.021992517477764692
ENSG00000156256	5807.109779284913	-0.44727936660347695	0.14606360279378752	-3.062223292102041	0.002196994969834093	0.03870091139169288
